AACC,20100623,4.7,4.81,4.61,4.71,4.71,109557
AAME,20100623,1.48,1.48,1.48,1.48,1.48,300
AAON,20100623,24.16,24.44,23.78,24,24,41935
AAPL,20100623,274.58,274.66,267.9,270.97,270.97,27444819
AATI,20100623,3.41,3.46,3.36,3.37,3.37,110935
AAWW,20100623,51.02,52.19,50.62,51.3,51.3,142014
AAXJ,20100623,55.94,55.94,54.3,54.64,54.64,1714268
AAZST,20100623,77.88,0,0,0,0,1000
ABAT,20100623,3.49,3.53,3.36,3.46,3.46,242942
ABAX,20100623,21.92,22.09,21.25,21.4,21.4,198037
ABBC,20100623,8.99,9,8.83,8.86,8.86,47755
ABCB,20100623,9.96,10.12,9.95,9.96,9.96,60860
ABCD,20100623,4.63,4.67,4.31,4.44,4.44,79759
ABCO,20100623,41.77,42.61,41,42.05,42.05,47767
ABCW,20100623,0.67,0.681,0.64,0.64,0.64,41705
ABFS,20100623,19.87,20.8,19.87,20.49,20.49,594901
ABII,20100623,60.68,61.41,59.9,61.14,61.14,69289
ABIO,20100623,4.03,4.07,3.79,3.83,3.83,103373
ABMD,20100623,9.53,9.63,9.4,9.45,9.45,110491
ABTL,20100623,1.17,1.18,1.12,1.15,1.15,125445
ABVA,20100623,2.62,2.62,2.499,2.6,2.6,9124
ACAD,20100623,1.24,1.2519,1.22,1.23,1.23,90607
ACAP,20100623,31.51,31.91,31.5,31.64,31.64,40438
ACAS,20100623,5.7,5.75,5.48,5.53,5.53,5743122
ACAT,20100623,8.97,9.27,8.53,9.1,9.1,59268
ACCL,20100623,6.8,6.94,6.7399,6.81,6.81,398774
ACET,20100623,6.64,6.83,6.57,6.59,6.59,71275
ACFC,20100623,3.06,3.06,2.9,2.9,2.9,8964
ACFN,20100623,5.11,5.34,5.03,5.23,5.23,33995
ACGL,20100623,76.85,77.11,75.55,76.49,76.49,241302
ACGY,20100623,16.92,16.92,16.46,16.7,16.7,222176
ACHN,20100623,2.25,2.29,2.22,2.25,2.25,46442
ACIW,20100623,19.61,19.77,19.26,19.53,19.53,115602
ACLI,20100623,21.47,22.82,21.47,22.54,22.54,99918
ACLS,20100623,1.94,1.94,1.77,1.81,1.81,935533
ACMR,20100623,2.31,2.37,2.24,2.31,2.31,58068
ACOM,20100623,17.79,18,17.36,17.81,17.81,353422
